band1,band2,band3,band4,band5,band6,band7,labels
8285,8488,9276,9774,13948,16238,12979,1
8320,8529,9257,9797,14101,16360,13168,1
8404,8623,9381,9907,14222,16337,13152,1
8740,9015,9852,10619,14269,17921,14906,1
8510,8727,9620,10169,14885,16912,13714,1
8388,8609,9430,10081,14056,16930,13866,1
8441,8644,9334,9918,13884,16911,13664,1
8420,8652,9342,9855,13956,16732,13444,1
8715,9021,10015,10786,14506,18039,14902,1
8683,9053,9951,10668,15185,19083,15329,1
8496,8775,9680,10147,15979,18350,14024,1
8414,8672,9574,10318,14141,17150,14251,1
8364,8579,9263,9798,13360,16559,13464,1
8486,8690,9429,9971,13811,16924,13662,1
8745,9026,10075,10940,14472,18193,15048,1
8622,8901,9728,10420,15458,19410,15308,1
8536,8768,9562,10073,15533,18246,13949,1
8302,8583,9533,10220,13674,16419,13918,1
8353,8547,9287,9820,13239,16233,13289,1
8639,8900,9728,10409,13786,17687,14653,1
8719,9084,10010,10827,14711,18702,15245,1
8470,8779,9637,10251,15942,19008,14682,1
8519,8810,9657,10190,15778,18730,14205,1
8565,8820,9656,10099,15823,18353,13881,1
8461,8679,9411,9980,13369,16246,13522,1
8567,8807,9632,10322,13802,17615,14369,1
8690,9049,10253,11168,14519,18358,15480,1
8825,9198,10474,11562,15575,19419,16261,1
8556,8818,9649,10193,15790,18518,14168,1
8550,8820,9659,10130,15573,18125,13659,1
8561,8818,9587,10019,15193,17963,13525,1
8233,8446,9051,9346,13169,15260,11895,1
8401,8632,9416,9944,13242,16463,13657,1
8355,8612,9403,10006,13553,16522,14066,1
8525,8830,9629,10405,13979,16848,14097,1
8654,8954,9685,10315,14810,18015,14439,1
8532,8762,9558,9982,15057,17680,13551,1
8464,8686,9431,9858,14861,16883,12937,1
8251,8430,9070,9388,13238,15095,12009,1
8254,8398,8815,9125,12217,14293,11634,1
8555,8746,9383,9918,13502,17148,13948,1
8376,8557,9148,9488,13175,15610,12676,1
8200,8390,8995,9407,12531,15339,12796,1
8370,8578,9220,9690,13660,16295,13124,1
8395,8601,9313,9653,14584,16449,12770,1
8383,8572,9283,9555,13999,15647,12158,1
8101,8275,8833,9006,12241,14199,11636,1
8495,8673,9144,9563,12487,15832,12655,1
8856,9086,9723,10328,13734,18058,14162,1
8210,8424,9212,9583,14613,16000,12685,1
8383,8561,9210,9611,13791,16173,12961,1
8266,8424,8946,9332,12511,15036,12359,1
8242,8414,8976,9422,12247,14715,12325,1
8393,8668,9496,10101,13542,16851,13831,1
8295,8505,9247,9550,14427,16041,12637,1
8225,8409,9129,9333,13518,14662,11726,1
8102,8225,8755,8990,11855,13256,11078,1
8361,8562,9010,9394,12308,15530,12661,1
8610,8800,9350,9924,13383,16969,13466,1
8615,8819,9390,10029,14073,17582,13735,1
7996,8167,8882,9151,12987,13535,11241,1
7949,8147,8865,9118,12827,13431,11078,1
7885,8086,8793,9009,13122,13147,10790,1
7899,8066,8704,8867,12771,13138,10710,1
7970,8091,8679,8914,11963,13328,11141,1
8167,8295,8832,9199,11990,14815,12353,1
8485,8677,9390,9992,13056,16339,13563,1
8702,8977,9949,10831,14011,17864,14850,1
8403,8608,9413,10004,13868,16017,13159,1
8140,8304,8877,9111,12439,13434,11235,1
8152,8256,8647,8851,11319,12844,11029,1
8323,8468,8927,9293,12131,15041,12384,1
8409,8574,9029,9462,12718,15553,12572,1
8470,8631,9091,9535,12812,15816,12648,1
8196,8409,9058,9443,13372,15184,12318,1
8132,8322,8997,9308,13329,14334,11543,1
8135,8337,9023,9353,13291,14393,11682,1
8155,8385,9123,9514,13611,14842,12003,1
8240,8468,9249,9599,14620,15498,12289,1
8000,8219,8933,9178,13496,14466,11559,1
7835,7953,8571,8734,11962,12439,10271,1
8082,8190,8714,8974,12026,13408,11189,1
8336,8509,9161,9760,12816,15351,12874,1
8372,8577,9279,9739,13436,16597,13462,1
8638,8896,9715,10287,14132,17592,14182,1
8597,8894,9852,10465,13837,17241,14070,1
8473,8776,9820,10379,12843,16363,13813,1
8591,8828,9888,10590,12952,16822,14242,1
8401,8586,9329,9851,12903,16192,13450,1
8405,8600,9172,9642,12818,15831,12876,1
8349,8515,9012,9385,12363,15277,12524,1
8406,8574,9053,9462,12648,15856,12794,1
8360,8607,9395,9937,14638,16713,13158,1
8379,8651,9404,10011,14552,16959,13449,1
8255,8470,9179,9658,13758,15886,12726,1
8231,8465,9233,9675,14108,15726,12455,1
8326,8566,9344,9794,14027,15913,12738,1
8419,8727,9608,10149,15401,17542,13537,1
8282,8550,9514,9854,15910,16678,12688,1
8027,8268,8990,9212,14289,14379,11569,1
8131,8314,9161,9506,14131,14982,12088,1
8369,8594,9291,9732,13682,15748,12799,1
8611,8908,9842,10569,13266,16935,14321,1
8531,8775,9648,10244,13642,17317,14088,1
8527,8759,9356,9817,13659,17156,13702,1
8571,8779,9437,9993,13621,17069,13647,1
8480,8722,9380,10026,13583,16572,13768,1
8773,9114,9836,10541,13760,18035,14753,1
8729,8987,9664,10373,13563,17450,14593,1
8499,8766,9622,10265,13293,16417,13665,1
8369,8512,9086,9485,12751,15407,12715,1
8399,8569,9079,9489,12710,15913,12946,1
8280,8492,9304,9704,14703,16378,12630,1
8345,8605,9372,9869,14881,16870,13044,1
8426,8605,9434,9955,15022,16804,12999,1
8382,8668,9353,9835,14949,17184,13171,1
8468,8728,9551,10050,15013,17577,13484,1
8525,8772,9636,10121,15833,17513,13373,1
8280,8445,9229,9509,14952,15077,11652,1
8171,8412,9200,9444,14632,15474,11981,1
8234,8469,9299,9584,14848,15588,12149,1
8331,8586,9453,9926,14451,16307,13110,1
8474,8706,9566,10207,14037,16474,13546,1
8525,8807,9833,10657,14118,17336,14416,1
8528,8785,9666,10421,14273,17432,14333,1
8496,8772,9486,10088,13968,16935,13896,1
8435,8686,9420,9897,13865,16594,13532,1
8527,8755,9499,10051,13347,17123,14123,1
8556,8787,9680,10438,13380,17460,14690,1
8514,8771,9603,10402,13495,16848,14236,1
8449,8644,9416,9976,12984,16845,14210,1
8490,8700,9336,9860,13054,16637,13639,1
8503,8702,9323,9820,13419,17284,13874,1
8283,8477,9180,9573,14306,15220,11919,1
8319,8521,9242,9668,14541,15781,12175,1
8277,8486,9223,9558,14527,15773,12053,1
8074,8245,9042,9369,14162,14595,11560,1
8140,8305,8923,9195,13754,14076,11120,1
8038,8209,8847,9007,12958,13971,11004,1
7907,8032,8722,8886,12925,12939,10435,1
7993,8155,8888,9075,13778,13335,10696,1
8118,8318,8993,9244,13856,14017,11173,1
8245,8445,9100,9410,13640,14809,11764,1
8291,8510,9268,9638,14148,15801,12429,1
8357,8621,9453,9895,14775,16560,12981,1
8304,8619,9531,9976,15154,16640,13205,1
8304,8601,9582,10073,14842,16627,13460,1
8384,8656,9580,10141,14249,16742,13760,1
8418,8712,9517,10096,14034,17157,14026,1
8604,8938,9961,10770,14362,17920,14973,1
8504,8796,9736,10571,14038,17883,15093,1
8457,8698,9446,10140,13540,17178,14335,1
8574,8839,9571,10277,13396,17393,14552,1
8564,8809,9450,10033,13588,17639,14278,1
8393,8638,9450,9885,14378,16047,12596,1
8311,8515,9364,9762,14560,15430,12212,1
8163,8308,8938,9224,13581,14097,11381,1
8068,8271,8840,9081,13118,13716,11011,1
7983,8143,8864,9062,12924,13245,10798,1
7893,7997,8601,8755,12638,12308,10111,1
7791,7900,8369,8476,11784,11619,9736,1
7859,7985,8533,8675,11981,12106,10043,1
7880,8014,8560,8654,11826,12277,10131,1
